Age,Community_Building,Community_Membership_Family,Community_Membership_Hobbies,Community_Membership_None,Community_Membership_Other,Community_Membership_Political,Community_Membership_Professional,Community_Membership_Religious,Community_Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not_Impaired,Disability_Not_Say,Disability_Vision,Education_Attainment,Falsification_of_Information,Gender,Household_Income,How_You_Heard_About_Survey_Banner,How_You_Heard_About_Survey_Friend,How_You_Heard_About_Survey_Mailing_List,How_You_Heard_About_Survey_Others,How_You_Heard_About_Survey_Printed_Media,How_You_Heard_About_Survey_Remebered,How_You_Heard_About_Survey_Search_Engine,How_You_Heard_About_Survey_Usenet_News,How_You_Heard_About_Survey_WWW_Page,Major_Geographical_Location,Major_Occupation,Marital_Status,Most_Import_Issue_Facing_the_Internet,Opinions_on_Censorship,Primary_Computing_Platform,Primary_Language,Primary_Place_of_WWW_Access,Race,Not_Purchasing_Bad_experience,Not_Purchasing_Bad_press,Not_Purchasing_Cant_find,Not_Purchasing_Company_policy,Not_Purchasing_Easier_locally,Not_Purchasing_Enough_info,Not_Purchasing_Judge_quality,Not_Purchasing_Never_tried,Not_Purchasing_No_credit,Not_Purchasing_Not_applicable,Not_Purchasing_Not_option,Not_Purchasing_Other,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Receipt,Not_Purchasing_Security,Not_Purchasing_Too_complicated,Not_Purchasing_Uncomfortable,Not_Purchasing_Unfamiliar_vendor,Registered_to_Vote,Sexual_Preference,Web_Ordering,Web_Page_Creation,Who_Pays_for_Access_Dont_Know,Who_Pays_for_Access_Other,Who_Pays_for_Access_Parents,Who_Pays_for_Access_School,Who_Pays_for_Access_Self,Who_Pays_for_Access_Work,Willingness_to_Pay_Fees,Years_on_Internet,who,target
41,Equally,0,0,1,0,0,0,0,0,Texas,0,0,0,1,0,0,Masters,Never,Male,Over_$100,0,0,0,0,0,0,0,1,0,USA,Professional,Married,Taxes,1,Macintosh,English,Primarily_work,White,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,1-3_yr,93819,Consultant
28,Equally,0,0,0,0,0,0,0,1,Texas,0,0,0,1,0,0,Some_College,Under_25,Female,Under_$10,1,0,0,0,0,0,0,0,0,USA,Education,Single,Navigation,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo,95708,College_Student
25,More,1,1,0,0,0,1,0,0,Florida,0,0,0,1,0,0,College,Under_25,Male,Over_$100,0,0,0,0,0,0,0,0,1,USA,Computer,Other,Navigation,4,Win95,English,Primarily_work,White,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,No,Heterosexual,Yes,Yes,0,0,0,0,1,1,Other_sources,1-3_yr,97218,Other
28,More,0,0,0,1,0,0,0,0,Illinois,0,0,0,1,0,0,College,51-75,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Other,Censorship,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,1-3_yr,91627,Salesperson
17,More,0,0,0,0,1,1,0,1,Ontario,0,0,0,1,0,0,High_School,Over_75,Male,Under_$10,0,0,1,0,0,0,0,0,0,Canada,Education,Single,Navigation,1,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,1-3_yr,49906,K-12_Student
55,Equally,1,0,0,0,0,1,1,0,Washington,0,0,0,1,0,0,Professional,Never,Male,$75-99,0,0,0,1,0,0,0,0,0,USA,Professional,Married,Navigation,1,Windows,English,Primarily_work,White,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1,Already_paying,4-6_yr,89941,Other
53,Equally,0,1,0,1,0,0,0,1,Oklahoma,0,0,0,1,0,0,Some_College,Never,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Censorship,1,,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0,Other,Under_6_mo,96052,Other
25,More,0,1,0,0,0,0,0,0,California,0,0,0,1,0,0,High_School,NA,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Dont_Know,1,,English,Primarily_home,White,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,No,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,90393,Other
32,Equally,1,1,0,1,0,1,0,0,Oregon,0,0,0,1,0,0,Some_College,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Married,Privacy,1,Win95,English,Home,White,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,6-12_mo,90848,Other
65,More,0,0,0,0,0,0,0,1,Alberta,0,0,0,1,0,0,Grammar,Never,Male,$10-19,1,0,0,0,0,0,0,0,0,Canada,Other,Married,Taxes,1,Win95,English,Home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,1-3_yr,91074,Retired
